# Системы контроля версий
Что такое система контроля версий (СКВ)? | ПО для отслеживания изменений файлов с возможностью отката к предыдущим версиям и совместной работы | Программа для автоматической компиляции исходного кода в исполняемый файл | Инструмент для развёртывания приложений в production-среде | Система для виртуализации серверных ресурсов
В чём разница между полным и инкрементальным копированием в СКВ? | Полное копирование сохраняет все файлы целиком, инкрементальное — только различия (дельты) между версиями | Полное копирование работает только локально, инкрементальное — только на удалённом сервере | Полное копирование используется в Git, инкрементальное — в Subversion | Полное копирование сохраняет только метаданные, инкрементальное — содержимое файлов
Какая из перечисленных возможностей относится к системам контроля версий? | Откат к предыдущим версиям файлов и слияние изменений нескольких разработчиков | Автоматическая компиляция исходного кода в машинный код | Создание изолированных виртуальных машин на одном сервере | Балансировка нагрузки между серверами приложений
В чём главный недостаток локальных систем контроля версий, таких как RCS? | Невозможность совместной работы нескольких разработчиков и риск потери данных при поломке диска | Высокая стоимость лицензии | Обязательное постоянное подключение к серверу | Хранение полной истории отдельно на каждой машине разработчика
Какой главный недостаток централизованных СКВ, таких как CVS, Subversion, Perforce? | Единая точка отказа — без доступа к серверу совместная работа невозможна | Невозможность отслеживания истории изменений файлов | Отсутствие поддержки слияния веток | Хранение данных только в виде полных копий без дельт
В чём ключевая особенность распределённых СКВ, таких как Git? | Каждый разработчик хранит полную копию репозитория и истории, можно работать офлайн | Все изменения сохраняются только на центральном сервере | Откат к предыдущим версиям невозможен без подключения к интернету | История изменений хранится в виде одной общей дельты для всех пользователей
Что такое репозиторий в системе контроля версий? | Хранилище файлов проекта и полной истории их изменений | Промежуточный буфер для подготовки изменений перед коммитом | Указатель на текущий коммит, с которым работает пользователь | Файл конфигурации, описывающий правила сборки проекта
Как Git хранит данные о версиях проекта? | В виде снимков (snapshots) всего состояния проекта на момент каждого коммита | В виде последовательных дельт (различий) между версиями каждого файла | В виде полных архивов проекта на удалённом сервере | В виде XML-описания изменений каждого файла
Какое состояние файла в Git означает, что изменения добавлены в индекс и готовы к коммиту? | Staged (индексированный) | Modified (изменённый) | Untracked (неотслеживаемый) | Unmodified (неизменённый)
Где Git хранит метаданные, историю коммитов и базу объектов проекта? | В каталоге .git (Git directory) | В рабочем каталоге (Working Directory) | В области подготовки (Staging Area) | В удалённом репозитории origin
Что такое указатель HEAD в Git? | Указатель на текущий коммит/ветку, на которой находится пользователь | Указатель на самый первый коммит в репозитории | Идентификатор удалённого репозитория | Контрольная сумма SHA-1 последнего файла в индексе
Чем тематическая (feature) ветка отличается от долгоживущей ветки, например master? | Feature-ветка создаётся под конкретную задачу и удаляется после слияния, долгоживущая ветка существует весь жизненный цикл проекта | Feature-ветка хранится только на удалённом сервере | Долгоживущая ветка не может быть слита с другими ветками | Feature-ветка не отслеживается системой контроля версий
Что происходит при слиянии (merge) веток в Git? | Создаётся merge-коммит с двумя родителями, объединяющий историю обеих веток | История одной из веток полностью удаляется | Коммиты переигрываются поверх целевой ветки с изменением их хешей | Создаётся новый репозиторий, объединяющий обе ветки
Что происходит при rebase в Git? | Коммиты текущей ветки переигрываются поверх последнего коммита целевой ветки, создавая новые коммиты | Создаётся merge-коммит с двумя родителями | Удаляются все неподтверждённые изменения в рабочем каталоге | Ветки объединяются без изменения истории коммитов

# Сборка программного обеспечения
Чем отличаются интерпретируемые языки программирования от компилируемых? | Интерпретируемые языки выполняются построчно интерпретатором без предварительного перевода в машинный код, компилируемые — переводятся в машинный код заранее | Интерпретируемые языки всегда работают быстрее компилируемых | Компилируемые языки не требуют установки на целевой машине | Интерпретируемые языки используются только для написания скриптов сборки
Что понимается под сборкой программного обеспечения? | Процесс преобразования исходного кода в готовый к использованию или распространению продукт | Процесс развёртывания готового приложения в production-среде | Процесс тестирования приложения после релиза | Процесс документирования исходного кода проекта
